车牌号,是否可用,是否空调,核载数量,长度规格,承包区域,初始位置
皖A1912**,1,1,16000,3.8,"洛阳,安顺",洛阳
皖A8813**,1,1,16000,3.8,"洛阳,安顺",洛阳
皖AF514**,1,1,50000,7.9,"洛阳,安顺",洛阳
皖AH115**,1,1,50000,7.9,"洛阳,安顺",洛阳
皖AH316**,1,1,50000,7.9,"洛阳,安顺",洛阳
皖AH617**,1,1,50000,7.9,"洛阳,安顺",安顺
皖AJ018**,1,1,50000,7.9,"洛阳,安顺",安顺
皖AJ019**,1,1,30000,6.2,"洛阳,安顺",安顺
皖ANQ20**,1,1,16000,3.8,"洛阳,安顺",安顺
鲁UNP40**,1,1,20000,4.2,南阳,南阳
鲁UV641**,1,1,20000,4.2,南阳,南阳
豫A2942**,1,1,30000,5.2,南阳,南阳
豫A7643**,1,1,50000,6.8,南阳,南阳
豫V9044**,1,1,20000,4.2,南阳,南阳
豫VRJ45**,1,1,20000,4.2,南阳,南阳
鲁A3Q64**,1,1,16000,3.8,"泰安,潍坊,安庆",泰安
鲁AA865**,1,1,50000,7.9,"泰安,潍坊,安庆",泰安
鲁AM966**,1,1,50000,7.9,"泰安,潍坊,安庆",泰安
鲁GCR67**,1,1,50000,7.9,"泰安,潍坊,安庆",泰安
鲁GCV68**,1,1,50000,7.9,"泰安,潍坊,安庆",泰安
鲁J0669**,1,1,16000,3.8,"泰安,潍坊,安庆",潍坊
鲁J3670**,1,1,16000,3.8,"泰安,潍坊,安庆",潍坊
鲁J6571**,1,1,16000,3.8,"泰安,潍坊,安庆",潍坊
鲁JC472**,1,1,50000,7.9,"泰安,潍坊,安庆",潍坊
鲁JD473**,1,1,50000,7.9,"泰安,潍坊,安庆",潍坊
鲁JD574**,1,1,50000,7.9,"泰安,潍坊,安庆",安庆
鲁JF375**,1,1,50000,6.8,"泰安,潍坊,安庆",安庆
鲁JG076**,1,1,30000,5.8,"泰安,潍坊,安庆",安庆
鲁JG577**,1,1,50000,6.8,"泰安,潍坊,安庆",安庆
鲁JG678**,1,1,30000,5.2,"泰安,潍坊,安庆",安庆
鲁AJ860**,1,1,50000,7.8,湘潭,湘潭
湘C6261**,1,1,50000,7.8,湘潭,湘潭
湘C6262**,1,1,50000,7.8,湘潭,湘潭
湘C6263**,1,1,30000,5.2,湘潭,湘潭
皖A0R79**,1,1,16000,3.8,"合肥,扬州,柳州",合肥
皖A1W80**,1,1,20000,4.2,"合肥,扬州,柳州",合肥
皖A2F81**,1,1,20000,4.2,"合肥,扬州,柳州",合肥
皖A5W82**,1,1,16000,3.8,"合肥,扬州,柳州",合肥
皖AC983**,1,1,50000,6.8,"合肥,扬州,柳州",扬州
皖AE884**,1,1,16000,3.8,"合肥,扬州,柳州",扬州
皖AF885**,1,1,50000,7.9,"合肥,扬州,柳州",扬州
皖AG686**,1,1,50000,7.9,"合肥,扬州,柳州",扬州
皖AH187**,1,1,50000,7.9,"合肥,扬州,柳州",柳州
皖AH288**,1,1,50000,7.9,"合肥,扬州,柳州",柳州
皖AJ889**,1,1,50000,7.9,"合肥,扬州,柳州",柳州
皖AK390**,1,1,30000,6.2,"合肥,扬州,柳州",柳州
皖AMB91**,1,1,16000,3.8,"合肥,扬州,柳州",柳州
苏C0A46**,1,1,16000,4.2,"徐州,嘉兴,韶关,安远",徐州
苏C2047**,1,1,20000,4.2,"徐州,嘉兴,韶关,安远",徐州
苏C3K48**,1,1,16000,4.2,"徐州,嘉兴,韶关,安远",徐州
苏C6049**,1,1,20000,4.2,"徐州,嘉兴,韶关,安远",嘉兴
苏C9B50**,1,1,20000,4.2,"徐州,嘉兴,韶关,安远",嘉兴
苏CKD51**,1,1,50000,6.8,"徐州,嘉兴,韶关,安远",嘉兴
苏CKL52**,1,1,50000,6.8,"徐州,嘉兴,韶关,安远",韶关
苏CLH53**,1,1,50000,7.8,"徐州,嘉兴,韶关,安远",韶关
苏CLJ54**,1,1,50000,7.8,"徐州,嘉兴,韶关,安远",韶关
苏CLS55**,1,1,50000,7.8,"徐州,嘉兴,韶关,安远",安远
苏CME56**,1,1,50000,7.8,"徐州,嘉兴,韶关,安远",安远
苏CMN57**,1,1,50000,6.8,"徐州,嘉兴,韶关,安远",安远
苏CQ258**,1,1,20000,4.2,"徐州,嘉兴,韶关,安远",安远
苏CSS59**,1,1,30000,5.2,"徐州,嘉兴,韶关,安远",安远
苏G079**,1,1,16000,3.8,兴牧,兴牧
苏G2910**,1,1,16000,3.8,兴牧,兴牧
苏GR911**,1,1,50000,6.8,兴牧,兴牧
皖A3W1**,1,1,20000,4.2,"常州,平顶山",常州
皖A7V2**,1,1,16000,3.8,"常州,平顶山",常州
皖A913**,1,1,16000,3.8,"常州,平顶山",常州
皖AC44**,1,1,30000,6.2,"常州,平顶山",常州
皖AH35**,1,1,30000,5.2,"常州,平顶山",平顶山
皖AJ96**,1,1,50000,7.8,"常州,平顶山",平顶山
皖AQ07**,1,1,20000,4.2,"常州,平顶山",平顶山
皖AT88**,1,1,16000,3.8,"常州,平顶山",平顶山
皖A0Y21**,1,1,20000,4.2,"阜阳,河源",阜阳
皖A0Y22**,1,1,16000,3.8,"阜阳,河源",阜阳
皖A3D23**,1,1,20000,4.2,"阜阳,河源",阜阳
皖A9E24**,1,1,20000,4.2,"阜阳,河源",阜阳
皖ABW25**,1,1,16000,3.8,"阜阳,河源",阜阳
皖AC826**,1,1,50000,6.8,"阜阳,河源",阜阳
皖AF127**,1,1,50000,6.8,"阜阳,河源",阜阳
皖AF928**,1,1,50000,7.8,"阜阳,河源",阜阳
皖AG129**,1,1,50000,7.8,"阜阳,河源",河源
皖AG130**,1,1,50000,7.8,"阜阳,河源",河源
皖AG431**,1,1,50000,7.8,"阜阳,河源",河源
皖AH332**,1,1,20000,4.2,"阜阳,河源",河源
皖AH633**,1,1,50000,6.8,"阜阳,河源",河源
皖AHR34**,1,1,20000,4.2,"阜阳,河源",河源
皖AJ335**,1,1,50000,7.8,"阜阳,河源",河源
皖ARH36**,1,1,20000,4.2,"阜阳,河源",河源
苏C7D37**,1,1,20000,4.2,自贡,自贡
苏CE838**,1,1,20000,4.2,自贡,自贡
苏CNU39**,1,1,30000,5.2,自贡,自贡
